group,n_windows,visual_nll_nats_per_token,visual_perplexity,visual_token_accuracy,exact_grid_accuracy,death_positives,death_probability_mean
all,22745,2.6340363025665283,13.92988180131463,0.2839099168777466,0.0011870740822158717,410,0.058194153010845184
failure,18991,2.6467654705047607,14.108330951193249,0.28253844380378723,0.001421726080775104,410,0.0628407895565033
expert,3754,2.56964111328125,13.06113613140952,0.29084810614585876,0.0,0,0.03468742594122887
idle,16890,2.613723039627075,13.649775022500899,0.2880162000656128,0.0015985790408525756,344,0.0619664266705513
jump,5855,2.6926350593566895,14.770545950843811,0.2720644772052765,0.0,66,0.047312233597040176
failure_idle,14071,2.629434585571289,13.86592768970558,0.28625476360321045,0.0019188401677208444,344,0.06701703369617462
failure_jump,4920,2.6963307857513428,14.825234842721533,0.2719099223613739,0.0,66,0.05089689418673515
expert_idle,2819,2.53529691696167,12.62017743653673,0.29680848121643066,0.0,0,0.03675635904073715
expert_jump,935,2.6731884479522705,14.486083760889127,0.27287766337394714,0.0,0,0.02844964899122715
