epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s
40,3.107853,3.107853,0.2609,0.9089,0.9037,0.9063,3.027051,3.027051,0.2752,0.6389,0.9176,0.7533,-0.0808,1.8e-03,74.7
41,3.103083,3.103083,0.2615,0.9106,0.9037,0.9072,3.019023,3.019023,0.2778,0.6199,0.9180,0.7401,-0.0841,1.8e-03,74.4
42,3.095687,3.095687,0.2628,0.9118,0.9028,0.9073,3.013554,3.013554,0.2778,0.6674,0.9083,0.7694,-0.0821,1.8e-03,74.3
43,3.091192,3.091192,0.2637,0.9132,0.9093,0.9113,3.019381,3.019381,0.2776,0.6578,0.9141,0.7651,-0.0718,1.8e-03,74.3
44,3.088139,3.088139,0.2642,0.9157,0.9038,0.9097,3.019456,3.019456,0.2778,0.6329,0.9283,0.7526,-0.0687,1.8e-03,74.3
45,3.081141,3.081141,0.2652,0.9152,0.9075,0.9113,3.018779,3.018779,0.2771,0.6763,0.9161,0.7781,-0.0624,1.8e-03,74.6
46,3.077380,3.077380,0.2657,0.9136,0.9118,0.9127,3.014808,3.014808,0.2791,0.6513,0.9229,0.7637,-0.0626,1.8e-03,74.3
47,3.074214,3.074214,0.2663,0.9159,0.9125,0.9142,3.010545,3.010545,0.2792,0.7340,0.8859,0.8028,-0.0637,1.8e-03,74.6
48,3.070690,3.070690,0.2669,0.9136,0.9077,0.9106,3.011481,3.011481,0.2798,0.6907,0.9020,0.7823,-0.0592,1.8e-03,74.4
49,3.066989,3.066989,0.2678,0.9137,0.9088,0.9112,3.009427,3.009427,0.2804,0.7790,0.8634,0.8191,-0.0576,1.8e-03,74.3
50,3.062344,3.062344,0.2683,0.9143,0.9074,0.9108,3.009651,3.009651,0.2794,0.6727,0.9102,0.7736,-0.0527,1.8e-03,74.4
51,3.075552,3.075552,0.2662,0.9139,0.9044,0.9091,3.148776,3.148776,0.2563,0.6753,0.8673,0.7593,0.0732,1.7e-03,74.4
52,5.396454,5.396454,0.0857,0.1812,0.3373,0.2358,6.716604,6.716604,0.0037,0.0000,0.0000,0.0000,1.3201,1.7e-03,74.6
53,6.687462,6.687462,0.0028,0.0907,0.0043,0.0083,6.685215,6.685215,0.0024,0.0000,0.0000,0.0000,-0.0022,1.7e-03,74.5
54,6.748840,6.748840,0.0015,0.0695,0.0052,0.0097,6.583345,6.583345,0.0023,0.0000,0.0000,0.0000,-0.1655,1.7e-03,75.5
55,6.659408,6.659408,0.0026,0.1087,0.0007,0.0015,6.662590,6.662590,0.0037,0.0000,0.0000,0.0000,0.0032,1.7e-03,74.3
56,6.695555,6.695555,0.0024,0.0827,0.0017,0.0033,6.520325,6.520325,0.0032,0.0000,0.0000,0.0000,-0.1752,1.7e-03,74.3
57,6.619320,6.619320,0.0023,0.0652,0.0001,0.0003,6.543227,6.543227,0.0034,0.0000,0.0000,0.0000,-0.0761,1.7e-03,74.3
58,6.626984,6.626984,0.0023,0.0758,0.0008,0.0015,6.554081,6.554081,0.0029,0.0000,0.0000,0.0000,-0.0729,1.7e-03,74.2
59,6.640289,6.640289,0.0018,0.0845,0.0049,0.0093,6.565523,6.565523,0.0025,0.0000,0.0000,0.0000,-0.0748,1.7e-03,74.5
60,6.704741,6.704741,0.0021,0.0809,0.0102,0.0181,6.689934,6.689934,0.0041,0.1034,0.0015,0.0029,-0.0148,1.6e-03,74.5
61,6.702293,6.702293,0.0021,0.0578,0.0028,0.0053,6.594127,6.594127,0.0008,0.0000,0.0000,0.0000,-0.1082,1.6e-03,74.5
62,6.671144,6.671144,0.0014,0.0615,0.0020,0.0039,6.584347,6.584347,0.0008,0.0000,0.0000,0.0000,-0.0868,1.6e-03,74.2
63,6.669910,6.669910,0.0013,0.0608,0.0045,0.0083,6.591011,6.591011,0.0007,0.0000,0.0000,0.0000,-0.0789,1.6e-03,74.3
64,6.675867,6.675867,0.0012,0.0750,0.0044,0.0084,6.596142,6.596142,0.0008,0.0000,0.0000,0.0000,-0.0797,1.6e-03,74.3
65,6.680115,6.680115,0.0012,0.0788,0.0038,0.0072,6.606473,6.606473,0.0008,0.0000,0.0000,0.0000,-0.0736,1.6e-03,74.3
66,6.686194,6.686194,0.0013,0.0784,0.0048,0.0090,6.613495,6.613495,0.0009,0.0000,0.0000,0.0000,-0.0727,1.6e-03,74.5
67,6.692716,6.692716,0.0012,0.0724,0.0045,0.0084,6.619628,6.619628,0.0009,0.0000,0.0000,0.0000,-0.0731,1.6e-03,74.3
68,6.696287,6.696287,0.0011,0.0882,0.0046,0.0088,6.619405,6.619405,0.0009,0.0000,0.0000,0.0000,-0.0769,1.5e-03,74.5
69,6.696322,6.696322,0.0011,0.0643,0.0017,0.0033,6.624691,6.624691,0.0008,0.0000,0.0000,0.0000,-0.0716,1.5e-03,74.3
