epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s
174,6.897022,6.897022,0.0015,0.0790,0.0458,0.0580,6.894006,6.894006,0.0014,0.0000,0.0000,0.0000,-0.0030,1.3e-04,74.2
175,6.899013,6.899013,0.0015,0.0812,0.0433,0.0565,6.893880,6.893880,0.0014,0.0000,0.0000,0.0000,-0.0051,1.3e-04,74.3
176,6.898513,6.898513,0.0014,0.0822,0.0387,0.0526,6.894897,6.894897,0.0014,0.0000,0.0000,0.0000,-0.0036,1.2e-04,74.3
177,6.899881,6.899881,0.0014,0.0835,0.0423,0.0562,6.896840,6.896840,0.0014,0.0000,0.0000,0.0000,-0.0030,1.2e-04,74.2
178,6.900270,6.900270,0.0014,0.0806,0.0391,0.0526,6.895608,6.895608,0.0014,0.0000,0.0000,0.0000,-0.0047,1.1e-04,74.4
179,6.899237,6.899237,0.0014,0.0805,0.0400,0.0535,6.893098,6.893098,0.0014,0.0000,0.0000,0.0000,-0.0061,1.1e-04,74.2
180,6.897165,6.897165,0.0014,0.0790,0.0332,0.0467,6.893602,6.893602,0.0014,0.0000,0.0000,0.0000,-0.0036,1.0e-04,74.6
181,6.897442,6.897442,0.0014,0.0819,0.0352,0.0493,6.894399,6.894399,0.0014,0.0000,0.0000,0.0000,-0.0030,9.5e-05,74.2
182,6.897949,6.897949,0.0014,0.0793,0.0362,0.0497,6.894029,6.894029,0.0014,0.0000,0.0000,0.0000,-0.0039,9.1e-05,74.3
183,6.897808,6.897808,0.0014,0.0780,0.0363,0.0496,6.894508,6.894508,0.0014,0.0000,0.0000,0.0000,-0.0033,8.6e-05,74.2
184,6.898872,6.898872,0.0014,0.0817,0.0379,0.0517,6.896150,6.896150,0.0014,0.0000,0.0000,0.0000,-0.0027,8.2e-05,74.3
185,6.898794,6.898794,0.0013,0.0786,0.0370,0.0503,6.894529,6.894529,0.0014,0.0000,0.0000,0.0000,-0.0043,7.8e-05,74.7
186,6.897812,6.897812,0.0014,0.0783,0.0354,0.0488,6.894607,6.894607,0.0014,0.0000,0.0000,0.0000,-0.0032,7.5e-05,74.3
187,6.897020,6.897020,0.0013,0.0780,0.0390,0.0520,6.892913,6.892913,0.0014,0.0000,0.0000,0.0000,-0.0041,7.1e-05,74.5
188,6.896548,6.896548,0.0014,0.0831,0.0413,0.0552,6.892272,6.892272,0.0014,0.0000,0.0000,0.0000,-0.0043,6.8e-05,74.3
189,6.896373,6.896373,0.0013,0.0794,0.0397,0.0530,6.892653,6.892653,0.0014,0.0000,0.0000,0.0000,-0.0037,6.5e-05,74.2
190,6.897085,6.897085,0.0013,0.0804,0.0431,0.0561,6.892725,6.892725,0.0014,0.0000,0.0000,0.0000,-0.0044,6.3e-05,74.4
191,6.896643,6.896643,0.0013,0.0811,0.0415,0.0549,6.892506,6.892506,0.0014,0.0000,0.0000,0.0000,-0.0041,6.0e-05,74.4
192,6.895748,6.895748,0.0013,0.0806,0.0386,0.0522,6.891290,6.891290,0.0013,0.0000,0.0000,0.0000,-0.0045,5.8e-05,74.6
193,6.896186,6.896186,0.0013,0.0824,0.0403,0.0541,6.892010,6.892010,0.0013,0.0000,0.0000,0.0000,-0.0042,5.6e-05,74.2
194,6.896433,6.896433,0.0013,0.0822,0.0409,0.0546,6.892745,6.892745,0.0013,0.0000,0.0000,0.0000,-0.0037,5.5e-05,74.5
195,6.896765,6.896765,0.0013,0.0775,0.0385,0.0515,6.893769,6.893769,0.0014,0.0000,0.0000,0.0000,-0.0030,5.3e-05,74.3
196,6.896870,6.896870,0.0014,0.0789,0.0386,0.0518,6.892147,6.892147,0.0014,0.0000,0.0000,0.0000,-0.0047,5.2e-05,74.3
197,6.896357,6.896357,0.0014,0.0794,0.0392,0.0525,6.892322,6.892322,0.0013,0.0000,0.0000,0.0000,-0.0040,5.1e-05,74.4
198,6.895791,6.895791,0.0014,0.0799,0.0405,0.0537,6.890778,6.890778,0.0014,0.0000,0.0000,0.0000,-0.0050,5.1e-05,74.3
199,6.895344,6.895344,0.0014,0.0802,0.0394,0.0529,6.891683,6.891683,0.0014,0.0000,0.0000,0.0000,-0.0037,5.0e-05,74.6
200,6.895435,6.895435,0.0014,0.0804,0.0393,0.0528,6.890954,6.890954,0.0014,0.0000,0.0000,0.0000,-0.0045,5.0e-05,74.3
