group,n_windows,visual_nll_nats_per_token,visual_perplexity,visual_token_accuracy,exact_grid_accuracy,death_positives,death_probability_mean
all,22745,2.613346576690674,13.644637355246038,0.29578202962875366,0.0011431083754671356,410,0.06689291447401047
failure,18991,2.6266372203826904,13.827193827915583,0.29447007179260254,0.0013690695592649149,410,0.07203700393438339
expert,3754,2.546111822128296,12.757404168218136,0.30241909623146057,0.0,0,0.04086964204907417
idle,16890,2.5934154987335205,13.375377259921109,0.3000231385231018,0.0015393724097098876,344,0.07156186550855637
jump,5855,2.6708428859710693,14.452145571186529,0.2835477292537689,0.0,66,0.05342431366443634
failure_idle,14071,2.609720230102539,13.5952467789259,0.2983052432537079,0.001847772013360813,344,0.07714392989873886
failure_jump,4920,2.6750190258026123,14.512625951321018,0.28350165486335754,0.0,66,0.05743138864636421
expert_idle,2819,2.5120294094085693,12.32992715743963,0.3085978925228119,0.0,0,0.04369908571243286
expert_jump,935,2.6488687992095947,14.138036638120722,0.28379011154174805,0.0,0,0.0323389507830143
