group,n_windows,visual_nll_nats_per_token,visual_perplexity,visual_token_accuracy,exact_grid_accuracy,death_positives,death_probability_mean
all,22745,2.675347328186035,14.517391263199384,0.2792990207672119,0.0011870740822158717,410,0.022033773362636566
failure,18991,2.6916635036468506,14.75620251144131,0.2775780260562897,0.001421726080775104,410,0.026030972599983215
expert,3754,2.592803955078125,13.367200133409046,0.2880052924156189,0.0,0,0.0018124558264389634
idle,16890,2.6540348529815674,14.211263479666759,0.2836858034133911,0.0015985790408525756,344,0.02454313635826111
jump,5855,2.7368273735046387,15.437928537307965,0.2666444182395935,0.0,66,0.01479497179389
failure_idle,14071,2.6723105907440186,14.473372627936435,0.2818041145801544,0.0019188401677208444,344,0.029063990339636803
failure_jump,4920,2.7470128536224365,15.59597477352293,0.2654916048049927,0.0,66,0.01735665835440159
expert_idle,2819,2.5628113746643066,12.972235913781102,0.29307821393013,0.0,0,0.001977353123947978
expert_jump,935,2.68323016166687,14.632281677172982,0.27271056175231934,0.0,0,0.0013152940664440393
