group,n_windows,visual_nll_nats_per_token,visual_perplexity,visual_token_accuracy,exact_grid_accuracy,death_positives,death_probability_mean
all,22745,2.6134073734283447,13.6454669299014,0.2957511246204376,0.0011431083754671356,410,0.06685928255319595
failure,18991,2.6267130374908447,13.82824220550748,0.294416606426239,0.0013690695592649149,410,0.07199856638908386
expert,3754,2.5460972785949707,12.757218631834652,0.3025023341178894,0.0,0,0.04086035117506981
idle,16890,2.593471050262451,13.376120303216327,0.3000120222568512,0.0015393724097098876,344,0.07153041660785675
jump,5855,2.6709187030792236,14.453241332608567,0.2834596633911133,0.0,66,0.053384438157081604
failure_idle,14071,2.6097919940948486,13.596222463120267,0.29827749729156494,0.001847772013360813,344,0.07710568606853485
failure_jump,4920,2.6751060485839844,14.51388893534971,0.2833746075630188,0.0,66,0.057392418384552
expert_idle,2819,2.51200532913208,12.329630252959372,0.30866995453834534,0.0,0,0.04370151832699776
expert_jump,935,2.648883581161499,14.13824562744296,0.28390708565711975,0.0,0,0.032294318079948425
