iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
80,25.30,19.1060,164.0598,39.0284,0.5759,1.0e-04,24.09,0.37,6.1
81,23.41,17.5103,146.6527,37.6844,0.5780,1.0e-04,,,5.1
82,24.78,18.8735,153.0646,40.7798,0.5771,1.0e-04,,,6.0
83,25.24,19.0288,154.3492,39.0540,0.5834,1.0e-04,,,6.1
84,25.82,19.4082,141.7994,38.8636,0.5846,1.0e-04,,,6.2
85,24.54,18.5737,140.8055,39.7946,0.5812,1.0e-04,,,5.2
86,25.57,19.4756,131.6402,39.4062,0.5802,1.0e-04,,,6.1
87,24.57,18.3154,178.5116,38.9137,0.5775,1.0e-04,,,5.1
88,25.20,18.9072,155.3979,41.1449,0.5805,1.0e-04,,,6.0
89,23.74,17.5723,155.2575,40.0969,0.5879,1.0e-04,,,6.0
90,24.35,18.3369,162.6622,40.2024,0.5745,1.0e-04,24.39,0.36,6.1
91,24.23,18.2114,181.5597,41.0804,0.5809,1.0e-04,,,6.2
92,24.93,18.8711,154.8305,38.9830,0.5650,1.0e-04,,,5.2
93,23.83,18.0469,168.1720,41.5750,0.5751,1.0e-04,,,6.1
94,23.27,17.4219,178.3322,41.1688,0.5791,1.0e-04,,,6.1
95,24.72,18.5957,164.8269,39.0089,0.5855,1.0e-04,,,6.0
96,24.62,18.4453,162.5567,39.3661,0.5791,1.0e-04,,,6.1
97,26.22,20.0562,146.8566,40.1630,0.5780,1.0e-04,,,6.1
98,25.22,19.1318,171.1523,40.8892,0.5824,1.0e-04,,,6.1
99,24.69,18.4194,175.0076,39.5923,0.5898,1.0e-04,,,3.5
100,25.89,19.4092,167.3366,41.8324,0.5787,1.0e-04,25.28,0.43,6.2
101,25.29,19.0723,182.6137,44.3097,0.5663,1.0e-04,,,6.1
102,24.79,18.4966,158.9458,41.0595,0.5858,1.0e-04,,,3.5
103,24.99,18.4761,175.7613,41.3977,0.5834,1.0e-04,,,3.5
104,23.53,17.2378,164.4115,38.4937,0.5937,1.0e-04,,,3.4
105,23.89,17.7803,158.7186,40.6607,0.5804,1.0e-04,,,6.0
106,25.28,19.0874,144.8645,40.3466,0.5814,1.0e-04,,,3.5
107,24.85,18.5566,156.8800,40.5387,0.5869,1.0e-04,,,6.2
108,25.46,19.1846,163.8828,40.2386,0.5739,1.0e-04,,,5.3
109,24.34,18.1919,146.3589,41.2143,0.5954,1.0e-04,,,5.2
110,25.14,18.9443,151.1734,40.7983,0.5856,1.0e-04,24.42,0.38,6.1
111,25.56,19.4341,167.3051,42.1165,0.5695,1.0e-04,,,3.5
112,24.77,18.7310,194.1532,42.0833,0.5776,1.0e-04,,,6.1
113,25.33,19.1680,201.9122,44.7500,0.5554,1.0e-04,,,6.1
114,24.59,18.4946,190.1645,44.3185,0.5736,1.0e-04,,,6.1
115,25.86,19.6982,181.3347,44.1932,0.5748,1.0e-04,,,6.1
116,24.38,18.4868,194.4123,42.5298,0.5793,1.0e-04,,,5.2
117,24.76,18.6099,180.9328,44.5030,0.5747,1.0e-04,,,3.5
118,25.21,18.7319,210.2229,43.7074,0.5817,1.0e-04,,,6.1
119,25.09,18.8774,182.7240,43.6932,0.5728,1.0e-04,,,6.1
120,24.30,18.2676,197.8924,42.9435,0.5812,1.0e-04,24.40,0.35,3.5
121,23.51,17.6562,181.7213,41.9062,0.5695,1.0e-04,,,5.1
122,24.62,18.4375,170.5726,42.0744,0.5806,1.0e-04,,,6.0
123,24.11,18.1328,183.2359,41.5417,0.5809,1.0e-04,,,3.5
124,23.56,17.4482,173.9945,39.3031,0.5808,1.0e-04,,,5.2
125,24.34,18.3521,166.4882,40.1964,0.5780,1.0e-04,,,5.2
126,23.69,17.8628,172.3398,42.4719,0.5675,1.0e-04,,,6.1
127,24.36,18.4199,173.9746,41.2768,0.5644,1.0e-04,,,5.2
128,25.18,19.1665,174.6540,41.7841,0.5721,1.0e-04,,,6.4
129,24.75,18.5708,166.8769,42.9792,0.5674,1.0e-04,,,3.5
130,26.04,19.8179,178.1912,45.7011,0.5624,1.0e-04,25.07,0.45,5.3
131,24.90,18.6782,203.6380,46.5256,0.5649,1.0e-04,,,5.2
132,24.06,17.8447,213.0456,45.5000,0.5740,1.0e-04,,,5.2
133,23.76,17.3896,195.7546,42.4594,0.5804,1.0e-04,,,6.1
134,25.26,18.7568,196.9031,45.2386,0.5736,1.0e-04,,,3.5
135,24.22,17.9502,199.6881,44.8690,0.5763,1.0e-04,,,6.0
136,25.16,19.0234,181.6197,41.5455,0.5847,1.0e-04,,,3.5
137,24.75,18.6709,190.9138,42.7708,0.5855,1.0e-04,,,3.5
138,24.09,17.9458,190.3302,43.6369,0.5710,1.0e-04,,,6.0
139,23.38,17.5171,196.2029,42.4125,0.5663,1.0e-04,,,5.1
140,25.80,19.6831,186.3892,44.8324,0.5569,1.0e-04,23.38,0.30,3.5
141,23.07,17.4429,206.4145,43.2344,0.5618,1.0e-04,,,6.0
142,24.26,18.3340,172.5507,40.9583,0.5688,1.0e-04,,,6.1
143,25.20,19.0327,186.0875,44.7756,0.5756,1.0e-04,,,6.3
144,24.17,18.0254,185.6900,43.2917,0.5800,1.0e-04,,,6.4
145,25.24,18.8540,187.7202,42.4943,0.5753,1.0e-04,,,6.4
146,25.03,18.8149,212.5713,47.1676,0.5567,1.0e-04,,,6.3
147,25.02,18.6577,195.9690,44.4858,0.5725,1.0e-04,,,5.3
148,24.35,18.1460,189.5326,41.9226,0.5803,1.0e-04,,,5.2
149,25.67,19.2046,181.0309,43.4801,0.5723,1.0e-04,,,6.1
150,24.97,18.6426,166.0548,40.0568,0.5903,1.0e-04,25.03,0.50,5.2
151,23.99,17.6323,169.1219,39.3958,0.5843,1.0e-04,,,5.1
152,23.81,17.6143,179.6735,40.7000,0.5712,1.0e-04,,,6.0
