group,n_windows,visual_nll_nats_per_token,visual_perplexity,visual_token_accuracy,exact_grid_accuracy,death_positives,death_probability_mean
all,22745,2.6044058799743652,13.523188518467553,0.29011663794517517,0.0011870740822158717,410,0.06180626153945923
failure,18991,2.619128465652466,13.723757645306465,0.28860709071159363,0.001421726080775104,410,0.06650454550981522
expert,3754,2.529926300048828,12.552580977971417,0.297753244638443,0.0,0,0.03803824633359909
idle,16890,2.586106300354004,13.277970390850342,0.2941829562187195,0.0015985790408525756,344,0.06544733792543411
jump,5855,2.6571950912475586,14.256245497834156,0.27838653326034546,0.0,66,0.05130279064178467
failure_idle,14071,2.6046695709228516,13.526754931069242,0.2922455668449402,0.0019188401677208444,344,0.07042082399129868
failure_jump,4920,2.6604793071746826,14.303143055057951,0.27820122241973877,0.0,66,0.055304136127233505
expert_idle,2819,2.4934463500976562,12.102915210808419,0.303853303194046,0.0,0,0.04062224179506302
expert_jump,935,2.63991379737854,14.01199568491138,0.27936163544654846,0.0,0,0.030247574672102928
